prompt,answers
"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire' -- but Hongkongers still didn't know the genre or the medium was just a series of scary film clichés, a few obscure lines, and a bunch of cheap tricks to fool us into thinking that there is a movie to be made.<br /><br />The original HK Hong Film was the best thing in the Hongkyuk film industry, as that country was so far away in its history and so big the makers knew that no Hong kung Wan film would come to fruition until it could be seen by the mainland people for the first time and be shown with a wide audience in Hong Kung Fu films. Since then they have developed so many of these films since then with 'The Master of Kung', with almost 200 million copies being sold worldwide in those parts of China.<Br / Images: John Wong (credited as 'Sir Su Hong'... of `Tung Kae Hong'), Chan-Wook Wong from `Chang Chan' (who plays ""Jack of Darkness""), David W. Davies as the ""Young Master' Hong-kung... (Clerks of Death)' (in Chinese, Chinese means ""the Young Master""), Hong Hongs 'Won' from the original `The Adventures of 'King Hsui' or `"
"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl. I don't recommend watching this movie."
"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards from the bottom. The film also shows us exactly how important it is to be able to live in this country, how much we want the country to change, where we can live, what we see and what happens in the present. But all of these things are interconnected on both levels and are very different from a story, as well as from an art, a drama and a film.<br /><br />""Whirling is the key"" is a superb piece of film."
Pickup On South Street is one of the most brilliant movies ever made,"Pickup On South Street is one of the most brilliant movies ever made - in fact, it has made this movie the best film I have ever seen in my career. There are quite funny scenes throughout this film. The songs were by a great number of great singers such as John Waters, Miles Davis, Robert Wagner, Frank Sinatra and John Coltrane.<br /><br />There is no question in all this that there is a whole generation of very talented singers - not only to great musicals, but people who will love, revere and listen to every single singer in America. People who love to sing, love music (especially Americana, Americanas Creed) as much as they love film and music, and in particular will listen, hear and hear every song in the country. You may laugh as you do the songs as we have already done so many many times over. I thought that was a very touching comment on a film that will probably never be seen again. It doesn't matter what music the song is - it will forever be remembered. <br/><BR />I have watched the movie dozens of times and can tell you, from beginning to end, that it is an enchanting movie - especially for the great fans of this wonderful musical.<BR />, I cannot deny that you may wonder, as I"
"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABEUS. There are many movies where people don't come to terms with the fact that they may not live with their ""normal"" life, and they also have it in common with BIBERNADOR, CHILDREN & DR. EYVEN. But this was the first ONE that was so incredibly accurate and beautifully told about human flaws. It made me so aware of the flaws in everyone else. <br /><br />The first film is more about the family, than the main characters, that this movie follows. The plot is far more complex with more than one person taking care of this person, aunts, grandkids, aunt and niece at a time. In fact, we know through flashbacks that the characters are human in their nature and there is no artificialization in those moments. We are not given personal stories, relationships. Each character is someone that needs a place to stay and a way to feel happy, normal, as well as beautiful. This can really be a part of who and what the character wants.<br/>< br />If I had to choose a film of my life in which I loved the story, then this would be my choice.<div id=mv_jqcv7_o6c7r"
"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality  This series was meant to be a good comedy, it would have been great for teen groups around the world that would be really disappointed. As a result i think this is a very good series if you watch it by 6 or 7! <br /><br />If you love the style of acting the show has, then see I Do Love it (1986) because they both deliver, with the same director; James Cameron. In the first part of this series it was an excuse for a show that was originally ""hot"" and was actually ""cool,"" so now we are in 2001, where the acting is fantastic, a great actor and producer here, he provides the most genuine portrayal that i've seen his name on todays screen. Cameron's work is also very well done, you can tell he is very interested in his characters, and not in any particular character. <besides his comedic antics and characters here are two superb examples of how his style works. The first is his ""jokes"" in a way, his mannerisms are amazing, from the simple and humorous expressions and he acts with conviction and sincerity, to the very nasty, nasty and racist attacks, the second is how he works, because he tries his best to make his character lik"
This is a really fun movie,"This is a really fun movie to watch! As long as you're not expecting anything good, don't waste your time or money. There may be some people out there who can't find anything redeeming about this movie. This little movie did one thing: it wasn't stupid! If you can appreciate movies such as this, you probably should!"
Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues and tries to cover it up with their friendship (but they fall for the very girl she's attracted to) to keep her away from him.<br /><br />When her brother (Eric Schleider) tries blackmailing her and demanding that she pay child support from his bank, she tries unsuccessfully (even though he knows all about it), and also against his will to get her the money she'd been hoping for but he gives her, and she tells him off on a false story and keeps him on the case.<Br / Idiocracy is a perfect movie for anyone who thinks that someone in their position can be more powerful than their boss."
"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure and one of the worst films of it all, and it deserved to be condemned...a fine film, if you are into the horrors of cinema.<br /><br />This film was filmed at the turn of one century and a third of a century after the publication of Dostoyevsky's ""A Tale of Two Sisters"", and from then on it has become a major hit in film making circles worldwide and has sold, both as a new and timeless masterpiece and in popular film and television.<b />It is an exceptional and compelling study of human beings and how they cope with the challenges of survival, from the personal and the economic realities of their times to the cultural challenges that are facing their people today.The film is made up of fascinating portraits in various landscapes, each representing a different facet of mankind.< br />While the film's portrayal of humanity differs dramatically from that written - as portrayed elsewhere in the book - the work is highly effective in making us understand most fully that human nature is not the product of individualism, but rather a universal construct. The film works in a way that is deeply personal, loving and sympathetic, giving us deeper insight into humanity beyond the borders of time. <br < br />The music, too, is unique to this"
"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) in comparison. It has a great story, nice sets, very high production values, and quite a bit of comedy. And a special soundtrack by Michael B. Jordan and Jeff Bridges - the latter of which may be some of the best-known indie-rock performers of those times.<br/><p><2) One of very few European-made movies released after 1928 in the U.S. as a feature film...<b) I didn't see the film and thought the cast was a little silly. What I got from the DVD was an assortment of pictures by director Fredrik Niederhoefer. Some of them were good, some were awful, but they weren't bad, since they did not try to tell any interesting things. For starters, Niehaus had made a German-American release of this film in 1932, only to fall into serious depression in 1934. The Germans were in a very serious position at the beginning of World War II, when in order to escape Allied influence, they were sent on a train to Italy where they tried to return to their countries (as promised) to fight on their former home front as soon as possible. That plan failed, as the Nieshaus soldiers got out of hiding and began attacking what they believed"
