,prompt,answers
0,"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'... It was a very promising film...... and it showed how Hongkongers can be ruthless, hard working in their pursuit of a new way to be accepted by society and to protect their families and nations... 'A better tomorrow is where you should kill... this is Kung Fu' is the perfect film to watch with friends... to enjoy!.."
1,"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl! The book is great as well, as is the book itself! As I said, it is very well written, with lots of good effects. It has many beautiful scenes of the forest, birds, horses, houses, trees, buildings, mountains, etc., I think. the author is also very talented, though I'm not a huge fan of his works. He has worked in many movies, I've seen a lot, mostly of different directors, directors of other films and TV series, he obviously enjoyed his work very much. Some reviewers have called him ""The Most Famous Actor of All Time"", I disagree, however, in all these cases he's one of my favorites, even when I have seen him before in other works, most probably his best work! I loved this film, well I was surprised to find it on DVD!! It gets into many characters, lots. I also liked its setting, which is wonderful, especially for a movie, because I usually enjoy a good locale! Overall, one thing I would recommend is, keep this movie on the DVD or watch it now."
2,"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards, its telling as he travels from village to village in a series of seemingly random pictures. He will discover in these new pictures that what he's been forced to understand is not reality, but what is reality. This film, made for television in 1959. The book is the best-selling piece of graphic filmography ever made and Jean-Philippe Rochon, in his book, is excellent here in doing the necessary filming for his work as a photographer. Ruchon's images in both films contain subtle, beautiful images that give the audience the impression that everything is happening right under their noses. Most of Ruhr's movies, especially the books, are great for creating realistic images for audiences. A powerful film for adults that is also amazing for children."
3,Pickup On South Street is one of the most brilliant movies ever made,"Pickup On South Street is one of the most brilliant movies ever made, and I think it is still one to watch. It is an amazing and unique film that will be loved by everyone who loves it. A great film, a must see, must learn, MUST recommend, AND I highly recommend it to everyone I know. If anyone can recommend this great movie to anyone who has never seen it before, you are going to be on the right track and won't be disappointed."
4,"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABEAR (1968). This film is brilliant indeed, and also highly enjoyable to watch. It is still an excellent film for any time and many people use it in their daily lives."
5,"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality!!! Secondly, despite the fact that you are very much young at this point in my life, it really makes it very well worth watching this time! It doesn't take yourself too seriously as it does and it's really worth seeing as well! The acting and story aren't so bad as to be worth listening to and i've seen a lot of good movies in it and this is a must watch for everybody! i have also seen some of John Wayne's other films, also, and as an adult myself, the movie itself is definitely worth paying attention to. It goes a long way and makes something out of nothing to make it an enjoyable movie! I must recommend it! the special effects were amazing and is great, as is The Shining, which i love and really enjoy! This was a totally great movie, one to watch and definitely one of my favorites of all time.<br /><br />I just highly recommend this movie to anyone who like to hear stories of teenagers or of teens who love horror movies, or to people with teens, to see this great show, that is, an amazing show!"
6,This is a really fun movie,This is a really fun movie to watch. I highly recommend this movie and I recommend it to everyone.
7,Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues who can and will force him to see 'the world and see the light'. Together, they are able to rescue a couple from a mental ward. But after the murder of their mother, Carli begins to discover that she's no murderer at all and she never kills the young criminals. With a love story between two men like this, viewers will appreciate the brilliance of Carle and her style of work, and the strength of characters throughout. All of it is brilliantly handled and beautifully acted. I highly recommend it to all."
8,"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure, and was one of the greatest films of all time.<br /><br />I bought it for $3.99 with purchase of this DVD and watched it again in 2007.<b><b=1]Despite great acting, great camera work, terrific music, fantastic sequences and excellent special effects (and excellent costumes), this movie is still a must see for all of us!"
9,"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) and the two are very similar and it's not hard to see why. It should also be noted that much of the story has been lost in modern day Germany (for a lot of us we now live in very different places with no access to video and few movies), it seems, and probably is, a lost medium and is a great film to look at. I highly recommend it."
10,"Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls""","Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls"" to compete at the top, taking in the women of America's capital and beating them on a regular basis. These drag parodies of those stereotypes are now popular among young black people. This documentary shows that black men are not, as a whole, the victims of ""race prejudice"" and it shows these characteristics in both the real life and the stereotypes portrayed by the men as young men. <br /><br />The filmmakers also illustrate how some of the jokes about how ""women get the upper hand"" in drag are still funny today. That is why I loved the film and I still think it is worth a watch. It is a film that makes me laugh and to know that some women still get to try on their looks, I really liked it and enjoyed it.<br * from ****"
11,I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals,"I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals, but to me it's an incredibly effective one. I'll keep watching this movie to it will it gives you a good feeling about what it all means.<br /><br />I just bought it from Walmart and loved it. It is amazing and worth the time it takes to sit through."
12,"If you go to this movie expecting something it isn't, you will be disappointed, as with any movie","If you go to this movie expecting something it isn't, you will be disappointed, as with any movie made since. It's the best movie written and directed by an amazing talent! All the characters are unforgettable and it's always interesting to read about them on TV. I loved it, and am hooked by it everyday! It makes you watch movies with laughter, passion, surprise and love, right out of a movie, just to get up with each new concept of the film. This is a great film that keeps you going every time it is in your room! I'm hooked on seeing it all the times I watch it!"
